ID_genome_file,eAUCH2O2,eAUC18C,eAUCpH,eAUCSA,eAUCGB,eAUCKCl
Denmark_1994_STDN94B7a,575.58864335804,765.57620391079,810.830855986654,313.935567355854,1069.68330012176,132.412705748569
Denmark_1994_STDN94B9a,189.605744081827,212.142786585758,341.302054921533,146.395562498732,313.651623013369,36.073875704394
Denmark_1994_STDN94C2a,763.500689334561,895.784658856253,648.09064011677,343.302754156357,637.721923701957,135.433725464363
Denmark_1994_STDN94C3a,322.387012387705,528.734015448819,457.066855080063,187.124287130871,518.688769051407,163.67487835485
Denmark_1994_STDN94Dw11,100.851559239182,139.677189948859,137.810646264893,88.1811415958407,109.275791340099,67.2144031099988
Denmark_1994_STDN94Dw6a,279.753934122211,471.762813822695,481.511893364666,94.3730726918115,291.035405144022,48.1737119597112
Denmark_1994_STDN94Ee2a,121.521143264851,174.132476328194,446.175920640733,120.376722255967,312.819367562938,75.5627737001155
Denmark_1994_STDN94Fe3b,121.722906372943,222.638240307502,200.24385564097,85.505711171856,158.296287495564,53.2888419731142
Denmark_1994_STDN94Fw6a,213.244225557776,301.094240562441,793.075564356829,98.9677812111514,475.069602209932,63.8064986514436
Denmark_1994_STDN94Fw7b,242.712426547225,303.179680514351,506.734469737012,72.7394771015989,438.460165074722,174.23936184118
Denmark_1994_STDN94Iw9,258.157290791572,480.646756983063,365.163783410118,65.8575502553826,338.086572817041,131.391211744222
Denmark_1994_STDN94Je2,313.886941053298,706.830454447204,590.727243308637,46.4855580723982,353.779831668813,51.2412281735213
Ethiopia_1992_ETD1,212.061698862574,228.748559763804,339.750000206892,147.615771642076,219.01006239107,29.0274875306556
Germany_1992_GEA1a_1,121.907067767677,161.928809294954,321.928684216179,52.3980240132445,247.925979976562,73.6409937753497
Germany_1992_GEA_4b_2,292.309897527044,447.453021111333,968.221921997043,242.426782192209,628.636824163525,300.052506196974
Germany_1992_GEB_4a_1,211.441889376841,285.862395195517,596.699839616636,99.7383030859392,336.066837076664,82.9908568452437
Germany_1992_GEB_3a_1,109.423029372459,96.2440543681174,523.345476028059,43.8592734472221,242.462265800666,145.824801705318
Germany_1992_GEB_3a_2,259.766582998514,390.409643824906,429.763537280509,77.6328784039153,413.730482406395,156.472316781358
Germany_1992_GEC_1a_1,351.45493432248,332.028489878256,390.941972026124,88.7582283520959,556.804452963429,207.532547833349
Germany_1992_GEC_2a_1,169.505058413688,165.7091401428,408.973852872123,36.3128855467083,272.04096419962,51.5178509649934
Germany_1992_GEE_2b_2,323.050894617652,281.926165087334,532.438249308595,100.402736367504,371.733432834719,72.995546770193
Germany_1992_GEE_4a_2,77.6072663369058,104.019241009417,265.193290700975,40.1095930617503,188.075498975545,17.9542143553981
Germany_1992_GEF1b_1,388.784910262763,409.401796116647,724.829606726099,176.846349216707,737.409852655972,200.569952049087
Germany_1992_GEF2a_2,306.639906696238,878.866186904904,783.660340312172,92.9456591270425,517.6439001675,136.503400165511
Germany_1992_GEG_1b_1,80.817319240164,110.287360948075,134.475070632911,54.5961513064226,114.357458825035,67.4298074615593
Germany_1992_GEH_1a_1,105.797313642491,97.3967452130484,226.978582711724,19.0837934025173,287.114057125049,39.4863432577385
Germany_1992_GEH_2a_1,286.533741296316,516.968483606329,786.757638639934,193.062738818991,529.800746790295,184.764106205961
Indiana_1993_I10a_1,152.944920573704,198.565704471982,185.409019515113,103.274754803805,173.90605536484,118.92139217936
ST93IND_11a2,135.087005702426,487.098973124093,563.745297376078,164.552545498748,506.295446491325,39.6572825566387
Indiana_1993_I15a_1,456.142329631557,553.113188288931,407.578342372998,271.516747979638,762.376493988446,230.593398828631
Indiana_1993_I18a_1,387.006785362192,540.627198564823,710.933699299447,136.989681145648,411.561248504602,145.364876200224
Indiana_1993_I1a_1,283.700460528618,306.641406993811,581.26370319626,256.36819493167,534.685380191396,189.224372799376
Indiana_1993_I21a_1,65.0796365500594,70.6317648433171,82.9630905828448,18.897943903109,93.2520605599367,35.860167816972
Indiana_1993_I22a_1,427.921305945181,899.358661768657,450.623191336839,229.787048865388,527.683481398179,138.241748790276
Indiana_1993_I24a_1,261.356447263059,316.193451526893,454.835383188242,151.14737023146,344.87893882862,91.7261157184784
Indiana_1993_I25a_1,102.173791394611,115.927184439959,143.411733449761,36.1001130584424,111.441717777035,38.7220797000792
ST93IND_28a1,121.797099300402,302.788225976623,312.41351167866,116.742520570169,223.268826935327,66.2553932776631
Indiana_1993_I2a_1,438.351877260978,591.541187829353,905.401542140908,260.528584575387,620.804811661746,207.841676700203
Indiana_1993_I32a_1,301.378884279745,388.206064900161,691.81250167661,369.611529547,878.734407489706,61.6347909874992
Indiana_1993_I33a_1,296.177255805425,444.450346438432,552.453214530564,243.580945477067,423.814107783946,151.488214796293
Indiana_1993_I9a_1,317.104485583991,739.441522939562,498.689190039398,325.279879416489,773.889032277076,81.8197733011539
Iran_2001_STIR01A32a,215.933953217861,374.45475281884,475.013711294393,273.393931612948,501.966713539801,101.228290658109
Iran_2001_STIR01A_45b,530.327427551239,534.490400513298,575.564802785876,215.476212651894,555.346593779097,93.0091988735373
Iran_2001_STIR01A_73a,457.328213244147,606.151425768427,790.059225341414,305.119614529595,558.306470778873,27.8949778743902
Iran_2001_STIR01A78b,516.014500965682,921.178397149319,703.983291171723,261.426263645185,819.270320836661,67.0014511925853
Iran_2001_STIR01A97a,147.105042299641,199.600985212674,255.785287244287,49.2618816870488,193.005298748183,56.4366106273018
Iran_2001_STIR01B_106a,38.7870428805305,79.0436954326106,88.0976744354026,21.1800762665383,100.941819957945,20.5319513003591
Iran_2001_STIR01B_26b,143.495283544044,321.265626946784,412.459246955318,106.525079875393,382.478747297665,28.1207022323779
Iran_2001_STIR01B_58a,59.5982662139403,53.1878654232789,96.2970509223251,21.8584144620018,68.9226810135914,18.8271747579544
Iran_2001_STIR01B74a,179.805918057956,322.329520720849,565.284341638397,120.854450476252,330.601323941891,34.607621981307
Iran_2001_STIR01B76a,417.468928684626,353.023445905688,632.967251368115,67.6983403027435,454.801408248843,38.447557259613
Iran_2001_STIR01B78a,86.5721781143989,286.60982003734,587.527333061906,126.20766022801,572.460076525152,67.4918215476588
Iran_2001_STIR01B_82a,318.926951926106,417.226578344496,359.437028968606,212.408034350772,318.478277530771,122.169131244456
Iran_2001_STIR01B_99a,168.207361936348,209.585055571486,359.621445644312,96.2636625429207,229.492146147691,70.3643049600519
Israel_1992_ISYB1b,87.6100051075733,590.824381727624,227.346250409124,120.391241790739,234.479771975228,101.295033755608
Israel_1992_ISYD3a_1,154.842234575655,147.556467508316,253.226348251344,69.9656691466629,347.138749065926,131.847742091247
Israel_1992_ISYG2a_1,469.134968445677,648.319006944395,547.797515253855,41.7055519396171,359.333336153793,79.9216855870828
Israel_1992_ISYH1a,111.052486276201,906.98732918515,421.984224824491,180.830057635176,595.646153659774,148.75079641153
