ID_genome_file,eAUC12C,eAUC15C,eAUC18C,eAUC22C,eAUC25C
ST01AUS_1C1,255.866967881163,74.0128442216122,164.876909616363,256.957380244046,295.937243408617
ST01AUS_1C2,164.951221420647,300.119417029742,513.010826986818,535.388884550118,388.420598963116
ST01AUS_1C3,20.359688969378,187.384883253472,334.650540353018,436.248236204516,336.543770461478
ST01AUS_1C6,54.6599676979058,331.557931775386,497.464004422946,475.938673016034,432.387486117484
ST01AUS_1C8,30.6324035887651,63.5374803236762,168.562549354072,275.857700411363,226.763114171576
ST01AUS_1D4,67.7880886052827,196.338470453958,308.890657312967,314.430142419216,274.889067251601
ST01AUS_1D5,151.278147454336,422.468156869653,773.488750965937,874.360946309472,858.947904220652
ST01AUS_1D8,44.573231649617,481.739795682185,864.824659669471,NA,850.01100707535
ST01AUS_1E1,58.7493946380576,284.968317234234,374.30075367168,360.345008617895,321.338510990386
ST01AUS_1E4,16.5713244184513,389.127043090439,568.747964694614,710.31721719254,569.028541220654
ST01AUS_1E5,41.5111760980209,238.722489093482,344.334546800945,559.368147399711,442.852635868571
ST01AUS_1F2,96.811437943761,267.563872802828,409.203842821027,599.143569156455,458.507780187673
ST01AUS_1F3,22.8506888682258,105.016223686189,310.228410517502,484.691198136784,350.391208317548
ST01AUS_1G2,52.2595646708507,187.607890580334,348.941624640168,390.526612469952,407.782812844281
ST01AUS_1G5,81.7273029839713,161.755829051741,301.474125833685,395.427824668578,297.391235816317
ST01AUS_1H2,50.700336714169,497.578486968321,720.474758621304,814.265656389939,644.884249518881
ST01AUS_1H6,70.1009478552171,433.33113492623,654.026230956646,NA,921.79163292029
California_1989_CB11A_ST1,133.183642811721,358.902331595647,507.375694008308,696.156068261469,670.620863514486
California_1989_CC22B_ST15,40.4270993737372,241.923834487221,423.165027465823,434.900675115574,288.531994794779
California_1989_CC22C_ST16,174.848485743653,199.563844252843,230.2685824566,250.789918381846,209.281667343113
California_1989_CD22A_ST35,24.4696478849621,187.410063480204,222.414191397485,247.26447020469,190.784183210217
California_1989_CE31B_ST42,30.7051309093709,325.1186982845,350.252083300273,530.15501804039,470.935749232636
California_1989_CF11A_ST44,58.0167279263755,538.425465898278,703.995483198071,752.230219237882,566.028477316857
California_1989_CF21A_ST47,62.6311213404799,109.272717067131,197.370268048453,166.933782591492,133.621937963279
California_1989_CF21C_ST49,19.8439797630507,77.700004236361,94.608266804928,92.5543540710462,80.4290895914523
California_1989_CF31C_ST52,109.2572475017,240.640804803495,337.085982618619,320.524400257901,216.320612594133
California_1989_CG11A_ST56,55.0863729080088,301.537868984831,401.568777333573,365.4413013508,256.32695428411
California_1989_CG12B_ST60,30.4412276520271,126.016421674139,151.49387216381,136.012821502821,107.486282202593
California_1989_CG22C_ST70,370.28572497162,241.075723704203,116.967072687245,325.309017229606,311.897512889797
California_1989_CH11C_ST82,16.0732173508458,121.162292743615,280.339842151534,256.045360974249,213.894290057275
California_1989_CH33C_ST97,4.23615239334797,316.645304606448,759.303741630979,720.86251745545,497.636261812238
Canada_1992_CNRA1a_1,44.1052392550033,264.152765740365,225.302808586969,208.012356955188,190.22053801085
Canada_1992_CNRA4b_1,10.9652842685503,173.38892179921,326.117058594988,291.338086605124,218.972942527816
Canada_1992_CNRB_3a_2,13.2188252246837,65.9849966243227,194.128107601273,193.339797695316,134.970189910288
Canada_1992_CNRD_3a_1,18.8435029760312,147.169157822456,182.011378501129,197.918922354903,228.814429620562
Canada_1992_CNRD_4a_1,333.541636783009,331.903454028942,425.007937654026,439.636358881265,371.678701619566
Canada_1992_CNRD4a_2,44.706494871559,284.104809476319,245.730421260549,367.133817408369,306.291389410615
Canada_1992_CNRE_1a_1,41.8805110367468,111.956158760491,191.298779003429,147.882542501492,102.629036386103
Canada_1992_CNRE2a_2,13.9082753101949,118.696279540334,327.620060615981,374.483753978653,265.640351069265
Canada_1992_CNRE4b_1,149.85042141161,340.393534551924,533.988961805569,593.92402325946,382.054266761007
Canada_1992_CNRF_2a_1,177.412389529042,842.580018682276,NA,NA,709.607363522944
Canada_1992_CNRG3a_1,51.0663557916663,211.740195061342,212.912448768314,301.222709516606,191.009039703566
Canada_1992_CNRG_4a_2,231.94623034108,146.583337745356,307.861193240542,504.566431863314,422.660050623238
Canada_1992_CNRH3a_1,8.83309904294835,89.3628686692192,165.689416884203,148.965990603094,233.088374914323
Chile_1995_STCH95_10B4a,115.221924598042,70.2381977281389,112.250099917768,148.42768880365,112.893380899841
Chile_1995_STCH95_1A2a,143.772892141345,294.773394199893,359.17510813295,500.126616218476,387.418065676909
Chile_1995_STCH95_1B1a,68.3698488252532,370.179793661629,398.616027665687,307.296947235145,223.076396205162
