ID_genome_file,Interceptx0C,Interceptx18C,Interceptx30C
ST90ORE_a15_4A_3,6.95519363081434,4.70413369995706,6.63175875919589
ST90ORE_a15_4A_4,NA,4.39499937892219,5.76506035540413
ST90ORE_a15_4A_7,6.50605356915663,5.71632588477339,6.28919636398826
ST99CH_SW39,3.94874067038333,4.77854378855097,NA
ST99CH_3A10,5.65208253920254,4.93668993020375,4.60285562581839
ST99CH_3A2,5.65263483430309,4.69092603205207,4.87607158060189
ST99CH_3A5,6.34366624045283,4.89038484169471,NA
ST99CH_3A6,6.3346726540647,5.0434078443347,4.43523173677585
ST99CH_3A8,5.03684212991203,5.10544139574415,4.59136898079077
ST99CH_3A9,3.18493148054524,3.68946096995367,4.52282571357381
ST99CH_3B2,5.22260052664547,5.11443535760783,NA
ST99CH_3B4,6.05002400024712,5.53832769267733,5.0430480439844
ST99CH_3B8,3.67983367826397,4.99854328775893,3.83056837901501
ST99CH_3C4,2.46890257945062,4.18711507730976,4.27510916637093
ST99CH_3C7,6.71160515213421,6.71475783019752,NA
ST99CH_3D1,3.98723428491384,3.98550954021216,2.81405642719609
ST99CH_3D3,5.523868520047,5.69883171863216,5.47832916197298
ST99CH_3D5,6.03553970672791,4.90285123634063,5.11181262618666
ST99CH_3D7,5.43597485995819,6.10825789749323,6.37623083281299
ST99CH_3D8,4.93314188001436,4.58969871682094,4.04497587067756
ST99CH_3F1,5.92083507418215,5.03473478893146,3.90174955236962
ST99CH_3F2,4.90784641794111,5.57711370007739,4.32578021178757
ST99CH_3F3,4.57317328478157,4.30042397267466,4.13146316621076
ST99CH_3F4,3.72654280533115,3.56149510418991,5.07668626527919
ST99CH_3F5,5.84004980936071,4.71918367698362,NA
ST99CH_3G2,5.55968642131606,3.64981211525776,NA
ST99CH_3G3,6.92099845477819,6.52222962151562,6.18281488826529
ST99CH_3G6,4.41945345838067,6.68781178172789,4.29643320381285
ST99CH_3H1,4.34358149311129,3.97084800430564,3.39018613113878
ST99CH_3H3,5.53883775233528,4.48379421637503,5.20731853769427
ST99CH_3H4,6.05562565573045,5.63406988501198,4.8214871230355
ST99CH_SW5,NA,NA,NA
