ID_genome_file,Max_grey0C_08dpi,Max_grey0C_12dpi,Max_grey0C_15dpi,Max_grey0C_19dpi,Max_grey18C_08dpi,Max_grey18C_12dpi,Max_grey18C_15dpi,Max_grey18C_19dpi,Max_grey30C_08dpi,Max_grey30C_12dpi,Max_grey30C_15dpi,Max_grey30C_19dpi
ST92ISR_Ar_11i,177.722222222222,183.455026455026,178.798941798942,145.534391534392,174.242592592593,184.679142300195,155.150264550265,137.571428571429,183,183.866666666667,184.073148148148,135.775
ST92ISR_Ar_12d,186.338720538721,173.211102622867,170.574883449883,158.297348484848,188.288235294118,177.485760971055,164.44212962963,158.186683006536,184.595779220779,184.474025974026,171.959956709957,168.430735930736
ST92ISR_Ar_12f,193.479853479853,193.080808080808,176.785353535354,155.805555555556,191.547619047619,204.202380952381,192.325396825397,173.388888888889,202.03373015873,205.785714285714,198.404761904762,183.446428571429
ST92ISR_Ar_15a,188.205769230769,173.450216450216,181.343253968254,173.491452991453,183.439393939394,169.391774891775,180.233333333333,170.911111111111,176.166666666667,194.333333333333,199.5,180.333333333333
ST92ISR_Ar_15c,198.691904761905,174.886622320769,128.561395627433,121.754901960784,193.571717171717,197.221296296296,174.208333333333,151.833333333333,199.991914947797,192.233003356659,156.720536398467,149.773076923077
ST92ISR_Ar_16a,182.392015392015,190.65037037037,193.515151515152,178.222222222222,181.205555555556,196.75,203.733333333333,197.527777777778,NA,NA,NA,NA
ST92ISR_Ar_16h,192.583333333333,190.944444444444,187,184.111111111111,182.277777777778,186.650793650794,186.18253968254,163.611111111111,184.037373737374,183.111111111111,178.381481481481,161.762962962963
ST92ISR_Ar_17d,207.950892857143,207.346638655462,205.496078431373,169.461538461538,208.882703081233,200.690476190476,207.664835164835,210.357142857143,211.194678884334,196.882465360726,199.5,NA
ST92ISR_Ar_17e,179.788888888889,180.109243697479,168.216239316239,177.344444444444,179.577777777778,179.090277777778,174.944444444444,156.876456876457,NA,NA,NA,NA
ST92ISR_Ar_17i,176.349206349206,NA,176.762962962963,163.639730639731,184.241451355662,NA,155.601382488479,162.812972085386,172.528571428571,NA,179.748015873016,169.744444444444
ST92ISR_Ar_18b,180.180555555556,172.330808080808,173.148148148148,173.212962962963,182.023015873016,177.393762183236,179.892592592593,177.737317149082,184.97962962963,180.309722222222,181.016025641026,175.172077922078
ST92ISR_Ar_19e,160,160,157.75,145.25,158.001936659831,145.978947368421,136.096198830409,135.091896407686,159.808333333333,154.333333333333,143.491666666667,130.575
ST92ISR_Ar_1b,165.180555555556,163.619658119658,168.723443223443,179.071428571429,167.599067599068,168.471794871795,159.494444444444,155.733333333333,172.102676563203,163.137407407407,164.339259259259,148.878787878788
ST92ISR_Ar_1c,167.79186856029,162.041889483066,160.542339907615,141.854050797182,171.407936507937,171.304761904762,181.744444444444,173.866666666667,NA,NA,NA,NA
ST92ISR_Ar_1j,159.260582010582,164.833333333333,156.287861811391,152.812962962963,177.734722222222,185.020512820513,173.084615384615,166.112637362637,167.878306878307,165.751322751323,171.821428571429,172.206349206349
ST92ISR_Ar_21a,176.230158730159,175.510101010101,186.004329004329,152.65367965368,192.388888888889,201.333333333333,202.5,200.388888888889,NA,NA,NA,NA
ST92ISR_Ar_22f,197.666666666667,197.536111111111,198.300925925926,206.650793650794,194.30604288499,193.532695374801,189.129136944926,198.063620589936,194.029166666667,191.726889338731,189.232793522267,199.991737891738
ST92ISR_Ar_2f,186.715842636895,182.72240108447,168.702838827839,136.862992922144,179.060353372118,178.033955627706,171.959275292609,135.033468559838,194.945773524721,189.426065162907,181.266195792512,143.642254901961
ST92ISR_Ar_4b,163.237179487179,NA,167.260378510379,163.984848484848,170.668055555556,NA,171.308886765409,172.286363636364,164.873917748918,NA,164.406926406926,158.992063492063
ST92ISR_Ar_4e,181.910714285714,179.083333333333,184.666666666667,163.595238095238,177.279605263158,179.163800022933,185.259041394336,154.865103936311,179.248677248677,176.912698412698,186.728571428571,174.971428571429
ST92ISR_Ar_4f,178.419913419913,181.701515151515,172.196338383838,153.268308080808,179.888888888889,177.444444444444,169.830303030303,167.838888888889,182.711111111111,182.379166666667,177.095833333333,168.272222222222
ST92ISR_Ar_5a,195.5,202.527777777778,188.777777777778,191.277777777778,195.185185185185,195.674074074074,178.555555555556,191.018518518519,NA,NA,NA,NA
ST92ISR_Ar_5g,160.956228956229,145.314814814815,161.814814814815,151.440476190476,156.357864357864,149.561327561328,166.635714285714,174.888888888889,157.25,148.78354978355,171.424242424242,169.019841269841
ST90ORE_a12_3B_11,167.597772597773,157.277777777778,154.515384615385,159.245868945869,169.452380952381,157.628205128205,146.928571428571,154.080586080586,167.030092592593,155.920833333333,151.783333333333,156.108333333333
ST90ORE_a12_3B_15,183.126984126984,181.940740740741,173.733333333333,170.592592592593,170.313131313131,166.046794871795,160.396062271062,166.162698412698,173.412037037037,181.327380952381,160.753968253968,166.849206349206
ST90ORE_a12_3B_17,187.85,184.525,168.125,166.325,181.310846560847,184.25,164.925,159.247619047619,NA,NA,NA,NA
ST90ORE_a12_3B_18,154.958333333333,NA,150.285714285714,167.238095238095,159.333333333333,NA,147.25,173.222222222222,163.888888888889,NA,155.444444444444,188.833333333333
ST90ORE_a12_3B_19,182.5,177.9,177.877777777778,180,181.875,186.3,185.4,176,NA,NA,NA,NA
ST90ORE_a12_3B_2,175.4,171.238095238095,160.525,139.055555555556,176.284259259259,156.417857142857,151.644444444444,146.488888888889,177.507575757576,154.791666666667,146.277777777778,134.9375
ST90ORE_a12_3B_21,189.208931419458,176.696349459507,162.089225589226,163.858465608466,186.225820707071,160.814141414141,156.988052943225,161.141975308642,188.630952380952,175.546060491731,155.023758697027,158.920634920635
ST90ORE_a12_3B_3,181.369963369963,164.30525030525,160.675396825397,165.861111111111,189.666666666667,171.5,183.75,174.583333333333,177.583333333333,170.166666666667,169.958333333333,171.541666666667
