ID_genome_file,OptTemperature_Americas,q25total_12C_Americas,q25total_15C_Americas,q25total_18C_Americas,q25total_22C_Americas,q25total_25C_Americas,q50total_12C_Americas,q50total_15C_Americas,q50total_18C_Americas,q50total_22C_Americas,q50total_25C_Americas,q75total_12C_Americas,q75total_15C_Americas,q75total_18C_Americas,q75total_22C_Americas,q75total_25C_Americas,day2_12C_Americas,day2_15C_Americas,day2_18C_Americas,day2_22C_Americas,day2_25C_Americas,day4_12C_Americas,day4_15C_Americas,day4_18C_Americas,day4_22C_Americas,day4_25C_Americas,day6_12C_Americas,day6_15C_Americas,day6_18C_Americas,day6_22C_Americas,day6_25C_Americas,Tempsens12C_Americas,Tempsens15C_Americas,Tempsens18C_Americas,Tempsens22C_Americas,Tempsens25C_Americas,inflection_12C_Americas,inflection_15C_Americas,inflection_18C_Americas,inflection_22C_Americas,inflection_25C_Americas,asymptote_12C_Americas,asymptote_15C_Americas,asymptote_18C_Americas,asymptote_22C_Americas,asymptote_25C_Americas,growthrate_12C_Americas,growthrate_15C_Americas,growthrate_18C_Americas,growthrate_22C_Americas,growthrate_25C_Americas,eAUC12C_Americas,eAUC15C_Americas,eAUC18C_Americas,eAUC22C_Americas,eAUC25C_Americas
Texas_1994_ST94TX_PB2a_1,19.5,49.0109916825033,35.6359612238506,37.2221284151439,36.3561241951504,37.2346703005461,11.2559369490304,67.8126899233988,72.0971258264398,74.8412657230685,69.5148977723165,111.890305008507,103.043662100988,110.245695872198,110.674787696841,108.886429090211,0.155737031452671,0.526085094978411,0.884930644229745,0.983914494516593,0.52295553697921,0.198649641996658,2.57948695860157,3.46923908596682,2.8728373840945,1.8443414970783,0.303319844370285,5.39365367452831,5.44286261979766,5.62637380476236,3.57872504239738,0.0743183083565316,0.758541336235199,0.933288021421411,0.865746135452291,0.543742801134635,,100.964778113056,87.5435362665494,110.041806343363,105.909102518479,,6.06709134108912,5.91787249141621,7.51457123076638,4.50767309494798,,0.0482298889059139,0.0492384128661688,0.0313331537159114,0.0360657731909902,27.6979407320251,282.703326252274,347.830257104706,322.657844063129,202.649336513979
Texas_1994_ST94TX_PB3a_1,18.7,17.3140019309761,38.291866592191,37.3074476163953,39.3923746193339,40.4172250388563,71.9980340443697,67.7874584273947,74.4948961582508,71.8593692375262,70.7373029018123,113.242110245953,108.038532441075,104.924061599291,106.201941192795,106.746064162908,0.211657259999311,0.561364539651,1.61045150101542,1.22096009605089,0.518534165760228,0.488068668478964,3.45446563399151,4.40314676761594,5.24669842393671,3.09381002134896,0.73473090804472,8.3553192456296,6.66519964897491,7.05379078839195,5.56190601489597,0.731893265261852,0.82233753026326,0.967001795586691,1.04490457054219,0.657205475606554,236.098004363123,109.387275528586,78.8371764193019,75.5309922728156,95.3834210780239,3.28451586888168,9.82371528435401,6.90176693782211,7.09299565716498,6.04868426763754,0.0130236828712689,0.0483223233229796,0.0388084700786365,0.0563371383047021,0.0459899297352346,341.576776286101,383.787385317588,451.302630693286,487.660088803686,306.719761432625
Texas_1994_ST94TX_PC3a_1,20.7,31.6293308056343,38.1364778582233,17.5355875339013,37.5737839737032,31.8045981145733,1.39117635364365,62.6765285146687,64.8233144569631,66.1678671644703,63.4104973091422,105.381477819414,103.223172836006,109.963610654947,105.577670819951,110.550728393362,0.0371869294941092,0.304120177014404,0.494180340972707,0.844524249131311,0.948401781552136,0.107860283608623,1.59304814723695,3.03637266349459,3.17533403357761,2.26127406643664,0.241811386675335,4.92229138390378,6.15169692583907,6.04701161593752,4.53333837911845,0.0426655841053097,0.57286263179164,0.913060614974088,0.981505876553131,0.769503685763545,,143.08305788372,102.140448188234,104.350992760151,122.88047295547,,9.63892169060474,6.94982712199526,7.41819104737083,7.12852368096291,,0.0353922743327702,0.045452109423977,0.0358091520350991,0.0270391281295627,14.6730116504216,197.011719085403,314.008335336223,337.547169776801,264.638039839837
Texas_1994_ST94TXPD2a_1,20.4,38.74096144792,36.1682040757831,37.5849234900408,36.3572502558821,33.8397082408885,73.3135987414562,70.6395123678562,68.8965905328303,70.943923399208,66.3834569952646,108.039099938228,101.759582427941,104.61616125401,103.362595870988,97.6896506308031,0.230620316404082,0.462757283514792,0.395472395890984,0.499287366195406,0.664860417201079,0.30893601593436,1.36266834722975,1.32697768216105,1.39232423153292,1.35046149957272,0.542603404625084,2.74631702954989,2.45808737603701,1.97289817423868,1.78218919872917,0.252307296959688,0.956794946490084,0.87234012633913,0.859612767949908,0.877027929655009,,128.252906489513,106.402628687566,78.4231965429246,68.7939019405456,,4.57449652487321,3.17922939209377,2.12046847066553,1.92172537307465,,0.0263757133781024,0.0327788716818453,0.0390342233893903,0.0336631657083088,41.6699293930434,158.019915968711,144.071740727649,141.969747912421,144.845957072301
Texas_1994_ST94TX_PD4a_1,21.7,31.9280944727897,36.322228757714,32.926239116619,35.6769905990758,31.3139653851623,71.5283059803614,65.4179040475092,62.8276264527104,64.2355594630161,,103.884911661392,108.035919900371,107.285552014642,109.400100500883,111.990403156759,0.0853257058707371,0.317739923759052,0.386593661501244,0.514385910279129,0.682584975419797,0.14554991115298,0.754762945268488,1.18808496896097,1.2456634067413,1.13303260248725,0.21104746801776,1.22716583553432,2.10179851196312,1.76304607938579,1.355814028265,0.126936439869436,0.599354050299013,0.912739171276838,0.939032491676287,0.925075397505199,125.018839707288,92.8447137115566,96.523039033732,77.9747897165113,48.3357927784679,0.37326265157403,1.47047763582412,2.44248631720853,1.91916290303166,1.36991170880531,0.0152861416045373,0.0299479348244469,0.0372594402997533,0.0370533640385443,0.0382031784842627,17.4984499368254,82.6221915029152,125.822976525852,129.447564951019,127.523550744637
Texas_1994_ST94TXPE4a_1,20.5,31.3592534931295,35.7047532727865,34.2726119387532,36.336608135124,,70.3444893163598,63.7671117443272,66.1283451712088,62.1723849350967,,111.08532037314,108.674910988459,115.831955980167,,,0.0483212183591444,0.34387180108398,0.460951433085822,1.17708197133802,1.22253340711819,0.105656127074924,1.43970239850867,1.85926071815872,1.5521403887725,1.45332533744249,0.177970736536251,2.98701006789068,2.71315412346825,1.50320923314981,1.21068148746779,0.0947599889623039,0.787670239056744,0.908348496987735,0.863721686474733,0.82774112033252,,111.220465542952,80.7798699942034,33.0626282150022,26.0424939536793,1.76070639505911,3.86093725439946,2.80239144833459,1.53007180941757,1.37061748237876,0.0129368824576022,0.035723791920983,0.0502123026237935,0.0907594026969649,,18.6767874214903,155.246425988393,179.031593066341,170.235840107969,163.144224833401
Uruguay_1993_STUR93_EC1c_1,18.9,36.4522628454518,34.6265264489279,28.6909302078316,31.2180297930157,27.7985710294956,70.5308472862007,69.4677172308631,58.6184999626181,70.7598159663526,67.8243319233688,111.385242564439,109.482068040029,95.3568383801239,107.799501538662,108.416512414892,0.356117927890088,0.829692118476215,1.4395519546083,1.56210874160617,0.62581677779747,1.25387143961557,3.30228118404043,6.23482885496177,4.3735346185002,2.56819957388363,1.96834670512352,8.59287556794781,13.0484678690683,5.27938307849709,3.39771351041792,0.214118930396823,0.668227548992024,1.12815918862191,0.716000344759199,0.41110132510269,90.0659979709815,122.975737783281,108.43790225236,68.2229537610275,78.6389443376512,2.21608791123055,12.4272687310119,16.180757510714,5.51578183336793,3.5898197205758,0.0382754111765567,0.0371374755359227,0.0387057802319346,0.0499587818150345,0.0533398895187475,126.254807039495,394.019062677488,665.21685123926,422.188197933973,242.405089444118
Uruguay_1993_STUR93_ED3b_1,24.0,36.3402722213873,36.1917548495647,40.8943415974679,41.5397604487555,41.0008369445986,71.721563259403,68.0047689764248,70.663632736312,67.394903827538,70.9603632387181,105.804044065152,107.202141378925,103.990855285033,104.944190548524,104.364355203301,0.44530591691616,0.657169070956415,0.918668991040712,1.11982975710081,1.15053240118924,1.03143682880689,1.79149272866747,2.6049575887938,2.92855391808207,3.08221774975674,1.37782607052886,3.71783709075226,4.82220029048449,4.44321032929887,5.3846939985518,0.333961674850745,0.624540115097896,0.883854690524814,0.920789957609347,1.02156379972365,96.1006144520772,124.733507119828,102.218959131774,86.7582588906357,98.7882826550797,1.94024622365385,5.87600254566277,6.03342194954006,5.05723130113648,6.62697065099148,0.0217293475559307,0.0281196627416765,0.0339193532820833,0.0346286506864879,0.0326289934539528,110.567340779088,206.771449948865,292.62478339806,304.853235253583,338.217230531334
Uruguay_1993_STUR93_EE1d_1,21.3,33.4498305209916,36.6750847486702,35.7809280990804,34.0566343849683,33.1720680640393,66.3230770138602,66.0662708823379,65.9220990445752,65.7586840895722,65.9166296785008,122.511577936024,106.79340323572,108.554736318699,102.356387060127,106.433383998729,0.118129907677658,0.507069873656321,1.02500362615007,1.6937773331719,1.24901128672908,0.223142878799444,1.78333851624304,3.84427405733476,4.22697481970753,3.50170773662907,0.230491952298561,3.27898721308295,5.40063835904522,5.42181586763441,4.25235697840976,0.0569551893469848,0.47325133919995,0.908170508632774,1.02726512463663,0.825007927309096,50.9607052401538,101.611805166262,78.4513168012695,63.9199305896763,66.3286167660014,0.256456998919001,3.98023464052376,5.54458150236911,5.23943872998056,4.30269723277871,0.0328424391954452,0.035702487364325,0.0498426637311812,0.0510525890837189,0.0529099818556094,23.0731057676355,191.718758715946,367.908779533197,416.155176444848,334.21880225824
Uruguay_1993_STUR93_EE3a_1,19.6,76.794578098107,36.6462244221365,34.050908482042,32.0293663458342,38.6850628779372,25.19505491507,68.0872324644302,70.1523595819715,71.4553922938511,68.8391784540805,129.532642134309,111.708218398377,107.337462981635,108.343966145892,118.70037708739,0.273426010933679,0.659138303202325,1.04709786097665,1.22184945325258,0.715233470224926,0.333963205178143,2.07558852913029,2.26333280260866,2.29997748488247,1.59057147107619,0.437874772638122,3.87009461671595,3.7994025895104,3.05518146600816,2.37881798196731,0.17148763094108,0.825255764044618,0.896648864860315,0.905842595786134,0.612868099628824,,100.417982609002,102.933209480778,73.2838980311083,83.5647097939813,,4.71122108270387,5.03649003612431,3.53687302818637,2.73427819461019,,0.038496160493893,0.0258273366647815,0.0342607485346856,0.033396473814402,48.2313685526322,232.105456745716,252.184962997337,254.7707251437,172.370841122094
Uruguay_1993_STUR93_EG4c_1,22.1,24.6514469629503,30.2123787227153,30.1730112345017,31.4570765134966,29.626406498841,70.5430234677116,64.648781037819,63.8392905575438,65.7386223889544,,105.281436352495,112.344735999733,110.293139577835,106.865768682849,107.437230183095,0.171548375242075,0.539308087531106,0.701175803971036,0.808654919006101,0.873532323081312,0.225369440838306,1.10602108562448,1.33116619059214,1.48328425355087,1.40253835762436,0.340668296241104,1.23429889092957,1.63737739756084,1.79348289168363,1.79643890848962,0.186908374835467,0.699090048279133,0.843991268920779,0.955334492398564,0.965620316326825,,55.513576282345,53.8564438609308,55.3378946104142,51.8879491174375,,1.33243930832644,1.57393337441225,1.80983284117911,1.79065888284631,,0.0366885416722725,0.047418867760563,0.0423916998832304,0.0360767856996399,30.9277598073802,115.678546324849,139.655375355362,158.07935702516,159.781354017827
Uruguay_1993_STUR93_LA4a_1,23.8,28.9472222222054,33.1818710009096,35.3130941535049,31.8790981284006,32.3958386633222,28.9472222222054,63.0999550159833,62.2284150463423,63.0333150048265,65.0842427726927,102.903761862006,113.627434731586,115.954788140147,113.480923667465,111.345290863929,0.0,0.370994861427735,0.589815521744241,2.11087096287702,1.83862478434097,0.0199437664963731,1.47055115615889,3.43635814846588,4.69514671182877,4.68103680492078,0.192781165293091,2.83321490501767,8.17997229347044,6.00400650454065,6.08323936263752,0.0110926030498911,0.322142172156494,0.817753221626602,0.986482731428611,0.974468040053988,115.431156642759,105.050861326365,103.067279192928,60.7316336873192,67.0001600468814,0.178218020409544,3.45396620778388,8.83218527477011,5.74864683246511,6.078244696019,,0.036015653543114,0.0584957572353761,0.0530120347683639,0.0485068906100646,5.29192134101594,153.683587883632,390.123554024846,470.618933672383,464.887113881742
Uruguay_1993_STUR93_LF2b_1,19.9,21.3551094353309,28.7946316553549,37.1050476798851,37.3751854745416,41.2524314208005,28.3380135164018,66.0165989754009,66.501340586291,,66.7517678376523,96.6862169305456,109.988777585807,109.750595427156,109.990605826563,102.427606151867,0.10378843041474,0.48591106279815,0.745129165497732,1.33572779768275,1.18400839068933,0.173780889349309,1.76609995368784,3.56599735253198,2.61101604706818,2.28336381475871,0.212399268919814,5.69045481672627,7.52926222204509,5.79378975322288,2.70093519856957,0.057064413540196,0.6209869047902,1.02375056725788,0.84295211271378,0.657795390263722,,173.825853463235,110.89376059073,189.492607335553,54.3526081206291,,19.3908514876208,9.60893669903475,20.1036900132833,2.80765300755959,,0.0294010597813224,0.0371343564767566,0.0201404849342573,0.034262152956418,21.4883794762648,233.841047897977,385.507171869608,317.425059762572,247.701782719066
Uruguay_1993_STUR93_LH4a_1,19.5,23.696775653063,29.1101310592274,20.4553661660677,36.4934900311248,30.4637172619733,84.9470574779843,71.2979647773076,69.0705178623246,70.6500198076646,71.188827907104,113.895870045435,105.933854165332,108.307524683492,111.093715467804,114.168017322001,0.0962956470517679,0.0796424178306752,0.212320599293752,0.621584283477818,0.275723550402834,0.169214847670493,1.49881538810089,3.22098408277474,3.48251051550809,1.70074370189189,0.30768927407424,5.57193340705503,8.29694042282739,6.25810977962016,4.8081160872157,0.34054169002716,0.597539722591464,1.02223554091396,0.9893920830098,0.566732585327363,,118.872807846826,111.308664058621,100.076165704969,167.249101538718,,6.76138529887836,9.62825269393994,7.08611154500097,14.7263786236879,,0.0573983967819293,0.0513047968480981,0.0391745554403211,0.0304084967833692,114.141372033024,200.280922360439,342.628731218003,331.620395213119,189.955111986227
ST00ARG_BD1D1a,19.0,,38.7323642566698,38.3631241215329,36.0502617447161,32.8548430220278,,69.8870351265378,67.8772711392022,68.5771240295864,72.0421824266626,,105.183638857269,106.761882740052,107.745242156443,108.756761215908,,0.285919090195761,0.404585111883069,0.528585506207349,0.691940680258862,,1.12184067719192,2.84601090808595,2.45402355487305,1.5431503125873,,5.2438740829793,7.24032216806246,5.30650329581654,2.83014335732775,,0.781894419358409,1.02396314048526,0.849159572937706,0.557860718374138,,207.89187496999,115.225680051264,117.404966722281,114.289425474266,,,9.18859675352544,7.34378293504217,4.05409866039272,,0.0329436420678132,0.0434421348791928,0.0341290692791012,0.0252528361146141,,245.456760966405,321.448356184379,266.573022081339,175.126822256728
ST90ORE_a15_2A_6,19.6,,38.0763085424335,28.5095914065736,36.2230906210567,38.3770797119118,,68.4935600954236,68.7274581119996,69.0593817540794,67.3117994382438,,108.897005679426,106.703359937094,108.287649536631,107.025780352471,,0.22425581921457,0.529109031600425,0.517179121785972,0.471359799683701,,1.62539405264405,2.68686917524579,2.11207650664028,1.65301857213004,,5.02601769712978,7.74481838356648,5.39320042628561,3.82780320047905,,0.65562485361927,1.06852503112545,0.811307410729382,0.619478442815384,,116.65060422803,121.105697469607,114.969414378122,112.533038664792,,6.19985521439617,10.6054656802724,6.97179949030652,4.95644759838456,,0.0502484508867052,0.0416586794063464,0.0411939308115785,0.0383045124197114,,205.015984442505,334.131187901635,253.698416980352,193.712886406924
Texas_1994_ST94TX_PC2a_1,20.5,,36.8616369001136,36.0201486374917,35.7678411533096,35.3487280921909,,68.5752319257436,68.4472365316206,68.8901923478283,67.225406068778,,108.650680097191,108.352576672743,106.188013225511,103.596560244439,,0.633944258913423,1.03284341315675,1.40937250552855,1.21220926672853,,3.46852344728145,5.1736607242666,4.81000857039155,4.56533083626658,,7.30648953564265,8.3281568173059,8.27301519859791,6.08725662682432,,0.717625143432595,0.971126792116703,0.952257445693465,0.824812907286305,,105.864250339281,88.5862569744876,95.4741594179519,75.3615626836736,,8.63371105356021,8.76905969209595,9.42244141986898,6.120531063818,,0.0426915953744088,0.050563562347836,0.0362088321455094,0.0508375082310155,,369.419673275822,499.917464621063,490.203886641816,424.597880260877
Texas_1994_ST94TXPI2a_1,19.2,,40.2870092727683,38.316207444086,37.2774428848015,38.5158142698914,,72.3924904403977,74.0822393166083,74.9443368315639,72.6074791722126,,113.941265588534,117.411833441826,95.3929074602871,109.695569716627,,0.501389763151364,1.01223551694324,1.20117101170019,1.14958733490028,,2.79716880436509,4.75989671958395,4.05561093992407,1.86747061409265,,5.29397459010609,7.96203174283471,5.81910600035913,2.86530353798102,,0.681082331763868,1.03227074371341,0.815199620818634,0.469944926754716,,104.207295646256,90.5566075101724,80.9484885720516,69.0801092905782,,6.2506461564685,8.57163823301027,5.98978946853816,2.90536247510565,,0.0395472175477898,0.0484325338579229,0.042872360131406,0.0297405368651854,,312.258751535933,473.269616089194,373.748082981613,215.457675636709
Canada_1992_CNRH3a_1,,56.6432540974969,27.1202255050153,36.9686006445258,30.6165652971884,38.9129873693507,80.2138698990617,64.3744641601832,64.9033188251381,74.9039186856383,69.6679868614886,114.182230713732,114.199332802819,110.666663037724,115.751123355072,,0.0258724160808029,0.217890252240963,0.385455571697068,0.522231845361689,1.32906845380201,0.0683110668275704,0.695473906933663,1.64439555921119,1.49199560713497,2.27752360651018,0.112789273760002,1.92390155533047,2.71906111743677,1.80170513958053,2.0791206407011,,,,,,,119.132465417552,89.5605662829243,69.2657768104331,44.3718358157545,,2.62079935681869,2.93216909538445,1.95423581837618,2.32398569655212,,0.0406691137458002,0.0466080595854555,0.0408136959539065,0.0645151931518086,8.83309904294835,89.3628686692192,165.689416884203,148.965990603094,233.088374914323
