ID_genome_file,sporesperml_0C,sporesperml_18C,sporesperml_30C,compspores_0C,compspores_30C
ST90ORE_a12_3B_8,213629,519339.38,279927.625,0.411347585465212,0.539007122856734
ST01AUS_1F2,160221.625,333334.875,95764.5,0.480662651935235,0.287292171273708
ST92ISR_Ar_5g,250461.625,464090.25,366484.125,0.539683014241303,0.789682879569222
ST01AUS_1H8,71823.375,75506.625,125230.625,0.951219512195122,1.65853824084973
ST99CH_SW39,73665,151013.375,NA,0.48780447427256,NA
ST90ORE_a15_2A_6,163904.875,469615.5,265194.375,0.349019304090261,0.564705328082229
ST01AUS_1A4,180845,330958.375,195943.125,0.546428232855567,0.592047640432124
ST92ISR_Ar_1j,215205.5,321999.25,293147.5,0.668341618808118,0.910398083225349
ST90ORE_a12_4A_7,285735.125,485200,207519.5,0.588901741549876,0.427698887056884
ST90ORE_a15_3B_19,397858.875,712243.75,291814.875,0.558599320808361,0.409712089435674
ST99CH_3D7,184461.875,241261.625,160274,0.764571966221317,0.664316175438178
ST01AUS_1E5,202546.375,442154,248078.875,0.458090111137748,0.561068937519507
ST92ISR_Ar_12f,325521,629947.375,298394.125,0.516743164458777,0.473681035657939
ST01AUS_1C8,954861,1567676.625,960286.375,0.60909309022835,0.612553864544609
ST01AUS_1H6,450543.625,947297,367751.625,0.475609682074365,0.388211537669812
ST99CH_3F4,365826.125,512156.5,323467.125,0.714285818885438,0.631578677611238
ST99CH_3A6,317691,591098.125,398557.75,0.53745898787955,0.674266645660566
ST01AUS_1C1,188689.25,394707.125,209868.625,0.478048755770497,0.531707212024612
ST92ISR_Ar_2f,947297.125,741279.125,887609.625,1.27792230086069,1.19740269901705
ST90ORE_a15_4A_2,413961.125,421662.625,344646.625,0.981735398056681,0.817351609002576
ST90ORE_a12_3B_2,184838.5,487126.375,369676.875,0.379446709285655,0.758893161964388
ST99CH_3D5,423587.875,338870.625,259929,1.2499988011649,0.767044945250123
ST01AUS_1C6,244525.75,483275.625,194465.375,0.505975756588179,0.402390199174643
ST90ORE_a12_4A_4,267630.625,429364.25,211794.125,0.623318371289645,0.493273776286684
ST90ORE_a15_3B_4,450861.5,591949.75,342927.875,0.761655022237952,0.579319232755821
ST99CH_3H4,201102.25,287463.375,284140.25,0.6995752067546,0.988439831682906
ST90ORE_a12_3B_21,390280.75,538802.375,572199.875,0.724348607409164,1.0619846933674
ST92ISR_Ar_4f,530071.875,955938.75,664300.375,0.554504015032344,0.694919392063561
ST99CH_3G6,325876.875,893572.375,314666.875,0.364689961459473,0.352144810877798
ST92ISR_Ar_17d,866096.25,1436378.375,1002563.625,0.602972214755043,0.697980171833205
ST99CH_3D8,318038.75,681936.75,432613.125,0.466375730593783,0.634388929765114
ST01AUS_1G2,216236.75,489897,275802.875,0.441392272253147,0.562981351181983
ST90ORE_a12_4A_2,236562.875,580037.875,225798.375,0.407840393181221,0.389282122309685
