ID_genome_file,Mean_grey0C_08dpi,Mean_grey0C_12dpi,Mean_grey0C_15dpi,Mean_grey0C_19dpi,Mean_grey18C_08dpi,Mean_grey18C_12dpi,Mean_grey18C_15dpi,Mean_grey18C_19dpi,Mean_grey30C_08dpi,Mean_grey30C_12dpi,Mean_grey30C_15dpi,Mean_grey30C_19dpi
ST01AUS_1C8,152.668810185185,145.133950046685,128.741126574501,90.8940498619738,152.090912698413,142.194800595238,119.046125159155,87.1834391025641,151.373977462121,145.308867819372,123.565360639361,85.8970226931477
ST01AUS_1D4,142.529,143.611166666667,130.909833333333,114.029833333333,139.80103030303,145.224288888889,130.765403030303,109.523083333333,143.035336219336,142.780961038961,127.469469047619,102.217395238095
ST01AUS_1D5,153.255016666667,146.146633333333,103.433183333333,99.4012333333333,157.738722222222,153.129311111111,108.518522222222,92.9580777777778,156.065352813853,151.183643939394,108.41565530303,92.6835454545455
ST01AUS_1D8,152.50742037037,148.700805128205,152.312777777778,126.971698051948,156.026176190476,153.634308333333,151.715108333333,137.803783333333,155.962,155.339833333333,153.7325,147.45125
ST01AUS_1E1,156.743979220779,156.438448412698,131.408127525253,102.507676282051,156.341790719697,155.942624458874,131.986850198413,100.679637806638,152.951,157.22875,148.29625,126.021
ST01AUS_1E4,147.830617886179,141.614795117845,111.062313241744,101.755566602317,144.69042854102,143.584825396825,112.624916666667,115.752828502415,151.165192592593,150.019975,123.015408333333,100.517962962963
ST01AUS_1E5,126.955157142857,89.0781709401709,86.5361868686869,86.6919472222222,128.621202020202,97.7317727272727,89.2806363636364,80.4103333333333,126.253251851852,87.499103030303,83.6484904761905,83.2595
ST01AUS_1F2,136.609893772894,136.278920634921,119.331166666667,118.053982323232,137.953333333333,138.891845791246,120.02022962963,123.97637962963,138.315075,137.625044444444,119.461451851852,119.870483333333
ST01AUS_1F3,106.840116666667,85.7841569444444,86.9339777777778,74.5692004662005,108.894962962963,94.11005,95.25015,80.2650648148148,114.902166666667,102.832648809524,100.397583333333,82.3813869047619
ST01AUS_1F8,148.515088888889,146.027965079365,100.642349206349,67.9794285714286,150.657666666667,150.737025396825,112.6398,68.2324666666667,151.224,153.99375,129.0122,82.5657
ST01AUS_1G2,126.511725217391,112.135032023988,89.3035969030969,78.2379058410189,122.25044047619,109.635388888889,92.5006517094017,81.333,125.873375757576,118.923641666667,99.8113583333333,83.5660416666667
ST01AUS_1G5,143.461538095238,148.949520923521,129.779974603175,115.700394444444,128.268583333333,133.571111111111,115.188833333333,93.2505555555556,132.523651515152,137.250611111111,121.422602564103,103.397904273504
ST01AUS_1H2,149.292704761905,140.500244444444,136.737872222222,139.261877777778,145.543249313187,132.720582417582,133.854150793651,139.283656695157,154.998,144.081333333333,143.4805,145.727666666667
ST01AUS_1H6,160.315702564103,148.217233766234,108.98368997669,93.9719776889777,159.216722222222,153.525305555556,118.819888888889,126.974944444444,159.097911297852,146.41623015873,113.322397303922,98.0905615196078
ST01AUS_1H8,141.394722222222,125.348944444444,102.810388888889,91.5978333333333,140.243333333333,124.548442857143,107.554357142857,92.5602833333333,136.056,133.2825,110.798,96.11375
ST92ISR_Ar_11g,135.630857142857,109.27246031746,95.8876666666667,88.6201111111111,135.678169230769,108.3908,107.934727011494,91.5199191919192,138.82025,104.7875,90.2532380952381,75.9559047619048
ST92ISR_Ar_11i,153.739907407407,147.949849206349,130.774002645503,90.2941851851852,154.697174074074,142.166505263158,107.089354497355,76.7086418396418,154.902795833333,146.856414880952,130.023516203704,81.3202916666667
ST92ISR_Ar_12d,154.832571717172,140.098148204736,132.66551486014,114.720914772727,155.207561873638,136.467811858077,129.883325833333,113.536343137255,154.346998106061,139.221381493506,132.683827651515,117.390068181818
ST92ISR_Ar_12f,157.986391941392,137.039277777778,120.453467171717,94.1640222222222,156.646,143.50475,130.443325396825,100.903833333333,157.889742063492,142.029702380952,127.892392857143,100.657142857143
ST92ISR_Ar_15a,147.270887820513,132.064071428571,105.777968253968,76.3411445868946,149.527712121212,141.720699134199,119.516522222222,84.9046333333333,144.838333333333,129.4405,110.638833333333,86.5143333333333
ST92ISR_Ar_15c,159.054662261905,127.209772209904,64.8190805630428,60.9153823529412,155.934715151515,135.960578703704,91.8841416666667,65.034625,157.353700407436,136.186227285657,74.1661163601533,46.3968115384615
ST92ISR_Ar_16a,145.656756613757,149.171648148148,121.392565656566,90.3793555555555,148.460044444444,149.320922222222,129.289955555556,104.884444444444,NA,NA,NA,NA
ST92ISR_Ar_16h,150.589888888889,139.517805555556,132.540972222222,113.364138888889,147.096658730159,137.077444444444,129.257261904762,87.8847777777778,147.607661616162,139.576322222222,129.316418518519,97.1349296296296
ST92ISR_Ar_17d,162.293276785714,150.043514705882,133.314015686275,105.607076923077,160.562271358543,140.26994047619,127.999289377289,114.072071428571,161.36198159312,142.39709444179,128.44727037037,NA
ST92ISR_Ar_17e,144.382711111111,126.171288515406,107.956298290598,85.1365111111111,149.729016161616,135.7871875,114.746107142857,75.9642334887335,NA,NA,NA,NA
ST92ISR_Ar_17i,146.181317460317,NA,115.646198941799,84.1997426647427,146.65224062201,NA,80.7622596704371,63.2070712643678,147.678014285714,NA,115.563729166667,81.2242333333333
ST92ISR_Ar_18b,154.297625,137.965358585859,127.908372222222,126.369092592593,155.841376984127,140.32849122807,129.487066666667,124.188218643013,154.393742592593,141.745998611111,130.37371474359,125.489321428571
ST92ISR_Ar_19e,149.37475,101.8735,72.672,62.5285,144.929564137617,93.5860152046784,73.3120090643275,63.2728592314119,145.796916666667,102.624236111111,72.7780083333333,58.3200916666667
ST92ISR_Ar_1b,154.06475,109.448155982906,107.728119047619,99.496869047619,150.775075058275,138.806448717949,122.745477777778,90.0361,152.557336482231,109.029372962963,106.610528148148,86.7030173160173
ST92ISR_Ar_1c,156.277075856307,114.636756465585,99.778614379085,65.9268037982017,155.424380952381,111.50920952381,111.451155555556,95.1136380952381,NA,NA,NA,NA
ST92ISR_Ar_1j,136.593871693122,113.995933712121,101.180432679739,83.3274337962963,145.014952777778,129.765961172161,114.259214957265,93.1226846764347,134.631888888889,114.405439153439,109.300196428571,102.805523809524
