ID_genome_file,Std_grey0C_08dpi,Std_grey0C_12dpi,Std_grey0C_15dpi,Std_grey0C_19dpi,Std_grey18C_08dpi,Std_grey18C_12dpi,Std_grey18C_15dpi,Std_grey18C_19dpi,Std_grey30C_08dpi,Std_grey30C_12dpi,Std_grey30C_15dpi,Std_grey30C_19dpi
ST01AUS_1D8,6.15263333333333,8.06367435897436,6.2605,14.6109181096681,5.57440476190476,6.21855,6.695575,13.8921,6.0765,6.73016666666667,5.6295,13.268
ST01AUS_1E1,6.25758701298701,6.50868253968254,25.1639255050505,35.3143846153846,6.78916761363636,6.4456025974026,20.5487348272642,26.7221435786436,4.829,7.13925,12.80425,26.533
ST01AUS_1E4,4.54409883855981,8.25647803030303,15.4686133255934,15.0245668436293,5.56582843763304,8.01527865961199,13.7227495238095,15.3227270531401,3.75992592592593,6.58238333333333,21.023575,26.7908412698413
ST01AUS_1E5,10.6095468253968,23.0422991452991,25.117897047397,23.2619194444444,9.177,24.1856818181818,24.6502727272727,21.0199090909091,9.37397037037037,24.2303575757576,25.7173,22.3448476190476
ST01AUS_1F2,6.38525366300366,12.9680238095238,15.9161944444444,18.0615883838384,5.6317,12.294336026936,16.3570666666667,17.2514407407407,6.27001666666667,13.3001555555556,15.4306962962963,16.927
ST01AUS_1F3,7.5853,17.1995875,20.6149444444444,22.0077496503496,8.58459259259259,17.5216833333333,21.8157,24.2924092592593,8.218,14.5613869047619,21.1859464285714,22.8330833333333
ST01AUS_1F8,5.92333333333333,7.19272380952381,15.9537301587302,15.7670952380952,5.92952777777778,6.61115396825397,15.5888,16.5899333333333,5.34766666666667,6.59475,14.1083666666667,19.1439
ST01AUS_1G2,8.97898746934225,16.7409456871564,18.6051909201909,17.6075036012297,10.3306904761905,13.4493611111111,14.7684679487179,18.8269722222222,8.74280134680135,13.9781666666667,15.5692833333333,16.8572083333333
ST01AUS_1G5,7.04854285714286,7.15810606060606,16.6953841269841,18.7092388888889,9.396375,12.4427579365079,23.1466111111111,23.8235555555556,7.89534343434343,11.0257222222222,20.8790897435897,20.6417145299145
ST01AUS_1H2,6.88195714285714,10.6266694444444,10.8931555555556,13.2240444444444,10.7728756868132,11.2940065934066,11.9970555555556,14.2991709401709,3.758,8.40066666666667,8.24583333333333,16.4271666666667
ST01AUS_1H6,6.05209597069597,7.56553146853147,19.8308088578089,24.183802031302,5.24138888888889,4.56547222222222,16.0718611111111,17.3382777777778,5.77099066293184,8.43085755135387,19.9717426470588,26.173024754902
ST01AUS_1H8,4.57961111111111,18.7502777777778,19.6553888888889,19.3421111111111,4.263,15.2218285714286,18.1150857142857,17.7898166666667,4.14525,11.27075,22.1185,24.76175
ST92ISR_Ar_11g,5.15922222222222,21.7084761904762,20.0204444444444,17.6983333333333,6.20431794871795,16.8569555555556,15.0245143678161,18.271601010101,4.33058333333333,24.7983333333333,22.2561904761905,15.6367142857143
ST92ISR_Ar_11i,4.55596296296296,4.75201851851852,9.71529365079365,11.6611322751323,3.9145962962963,6.19431695906433,10.0918338624339,10.0354542124542,4.56421666666667,5.51831964285714,9.32382222222222,9.19949583333333
ST92ISR_Ar_12d,5.01667441077441,8.03578698752228,7.94485518648019,9.19396212121212,5.25304640522876,8.30050638032991,8.21777231481481,9.53280514705882,5.13181953463203,9.23759090909091,8.83083062770563,10.84845995671
ST92ISR_Ar_12f,6.01373321123321,16.8461792929293,18.9805984848485,16.5532222222222,5.63729761904762,12.8644761904762,17.3959285714286,21.7588333333333,6.2680119047619,14.52125,19.3717023809524,20.8850535714286
ST92ISR_Ar_15a,5.52736730769231,6.5696645021645,16.4024285714286,19.9940548433048,4.7289797979798,7.68066883116883,18.0300222222222,23.4528,5.30416666666667,13.0546666666667,18.815,22.126
ST92ISR_Ar_15c,5.93630134920635,16.3159912786401,11.2523038334831,9.85254901960784,5.44936094276094,19.192287037037,24.2189166666667,14.2723194444444,6.28560504201681,16.1869356261023,20.2621634482759,10.4683307692308
ST92ISR_Ar_16a,6.63309042809043,9.33085259259259,26.2387828282828,29.2237222222222,5.25835,7.40815,23.6254666666667,33.4879444444444,NA,NA,NA,NA
